Date,Location,Fund,Value
1/1/2020,Te,E,-222.18
1/2/2020,,E,3800
1/2/2020,,E,145.12
1/2/2020,Te,E,3950
1/2/2020,Te,E,-114.85
1/2/2020,,E,-3800
1/2/2020,,E,-25.01
1/3/2020,,E,-3000
1/3/2020,,E,-400
1/3/2020,Te,E,-1071.34
1/3/2020,Te,E,-1669.66
1/3/2020,,E,3000
1/3/2020,19,E,-104
1/3/2020,19,E,-104
1/3/2020,,E,-28.76
1/4/2020,,E,-599.75
1/4/2020,,E,599.75
1/5/2020,,E,-50.99
1/6/2020,19,C,3300
1/6/2020,,E,100
1/6/2020,,E,100
1/6/2020,,E,-29.99
1/7/2020,19,E,2537
1/7/2020,,E,-376.56
1/8/2020,,E,729.32
1/8/2020,,E,-0.78
1/8/2020,,E,-75
1/8/2020,,E,-37
1/9/2020,,E,-3500
1/9/2020,,E,3500
1/9/2020,19,E,-65.5
1/10/2020,,E,-200
1/10/2020,,E,-53
1/13/2020,19,E,2700
1/13/2020,Lo,E,-3458
1/14/2020,,E,-50.42
1/15/2020,19,E,-132.69
1/15/2020,,E,-678.98
1/15/2020,,E,-15.65
1/15/2020,Lo,E,-926
1/15/2020,Te,E,-67.2
1/15/2020,,E,-20.51
1/15/2020,,E,-93
1/15/2020,,E,678.98
1/16/2020,,E,-15.99
1/16/2020,,E,-13.99
1/19/2020,,E,-10.33
1/19/2020,,E,-2.25
1/20/2020,,E,-500
1/20/2020,,E,522.45
1/20/2020,,E,500
1/20/2020,,E,-48.25
1/21/2020,,E,-522.45
1/21/2020,19,E,-259.91
1/21/2020,,E,-303.75
1/21/2020,Te,E,-328.37
1/21/2020,,E,303.75
1/21/2020,,E,-65
1/22/2020,,E,347.32
1/22/2020,,E,-1000
1/22/2020,,E,-13.47
1/22/2020,,E,1000
1/22/2020,,E,-12500
1/22/2020,,E,-500
1/24/2020,,E,-200
1/25/2020,19,E,5900
1/25/2020,19,E,-152.98
1/26/2020,,E,-89
1/26/2020,,E,-131.34
1/26/2020,,E,-28
1/27/2020,,E,-39.77
1/27/2020,,E,-119.94
1/27/2020,Lo,E,-590
1/28/2020,,E,-38.9
1/29/2020,,E,375.56
1/29/2020,,E,-200
1/30/2020,,E,-9000
1/30/2020,,E,9000
1/30/2020,,E,-10.48
1/31/2020,,E,-8000
1/31/2020,,E,-29.99
1/31/2020,,E,0.05
1/31/2020,,E,8000
2/1/2020,Te,E,3950
2/1/2020,,E,-3900
2/2/2020,,E,-111.98
2/2/2020,,E,-96
2/2/2020,,E,-51.99
2/3/2020,,E,3900
2/3/2020,,E,100
2/3/2020,,E,-1381.97
2/3/2020,19,E,-104
2/3/2020,,E,1381.97
2/3/2020,,E,-100
2/4/2020,19,E,2537
2/4/2020,19,C,3300
2/4/2020,,E,-205
2/4/2020,,E,-24.99
2/5/2020,,E,-3000
2/5/2020,,E,139.76
2/5/2020,,E,3000
2/5/2020,Te,E,-1074.35
2/5/2020,Te,E,-1666.65
2/5/2020,,E,-48.98
2/6/2020,19,E,-354.24
2/6/2020,,E,-36
2/7/2020,,E,-3500
2/7/2020,,E,3500
2/7/2020,,E,-500
2/7/2020,,E,500
2/9/2020,,E,-2
2/10/2020,,E,-54
2/11/2020,,E,-200
2/12/2020,19,C,1300
2/12/2020,,E,742.58
2/12/2020,Lo,E,-3458
2/12/2020,,E,-47.01
2/14/2020,19,E,-599.96
2/14/2020,Te,E,-265.11
2/16/2020,,E,-15.99
2/17/2020,,E,611.22
2/17/2020,,E,212.98
2/17/2020,,E,-44.02
2/17/2020,,E,-13.99
2/18/2020,19,T,440
2/18/2020,19,T,3530
2/18/2020,19,E,-148.63
2/18/2020,19,T,3000
2/18/2020,,E,-611.22
2/18/2020,19,E,185
2/18/2020,,E,-212.98
2/18/2020,Lo,E,-926
2/18/2020,Te,E,-61.82
2/18/2020,,E,-39.8
2/18/2020,Te,E,-601.25
2/19/2020,,E,688.91
2/19/2020,,E,-304.5
2/19/2020,,E,-328.37
2/19/2020,,E,-2.5
2/20/2020,Te,E,-222.18
2/23/2020,,E,-22
2/24/2020,19,T,-7000
2/24/2020,,E,-20.98
2/24/2020,,E,-51
2/24/2020,,E,-47.01
2/25/2020,19,C,1500
2/25/2020,19,E,-159.03
2/25/2020,,E,-90
2/26/2020,,E,378.03
2/26/2020,,E,-75
2/27/2020,,E,-17.18
2/27/2020,,E,-26
2/28/2020,19,E,-5
2/28/2020,19,E,-2
2/28/2020,,E,-15
2/28/2020,,E,-2.25
2/29/2020,,E,-29.99
2/29/2020,,E,0.06
3/1/2020,Te,E,3950
3/1/2020,,E,-3900
3/1/2020,,E,-48.98
3/1/2020,,E,-36
3/2/2020,,E,-4200
3/2/2020,,E,-1000
3/2/2020,,E,3900
3/2/2020,,E,100
3/2/2020,,E,-500
3/2/2020,19,E,5
3/2/2020,19,E,2
3/2/2020,,E,10500
3/2/2020,19,E,-10333.27
3/2/2020,,E,-50
3/2/2020,,E,1000
3/2/2020,,E,-65
3/2/2020,,E,-38.47
3/3/2020,,E,-3000
3/3/2020,,E,3000
3/3/2020,,E,-1077.38
3/3/2020,Te,E,-1663.62
3/3/2020,19,E,-104
3/3/2020,,E,-111.98
3/4/2020,19,E,2537
3/4/2020,Lo,E,3195
3/4/2020,,E,1000
3/4/2020,,E,286.34
3/6/2020,Te,E,-26.2
3/6/2020,Te,E,-50
3/6/2020,,E,-18.49
3/9/2020,,E,-1.5
3/9/2020,,E,-52.52
3/10/2020,,E,-1500
3/10/2020,19,E,23447.37
3/10/2020,Lo,E,-3458
3/10/2020,19,E,2800
3/10/2020,19,E,-225.85
3/10/2020,19,E,-52.06
3/10/2020,19,E,-70
3/10/2020,,E,1500
3/11/2020,,E,-12000
3/11/2020,,E,12000
3/11/2020,,E,64.22
3/11/2020,,E,-1660.6
3/11/2020,,E,737.14
3/11/2020,,E,500
3/11/2020,,E,1660.6
3/11/2020,,E,-91
3/12/2020,,E,-737.14
3/12/2020,,E,-500
3/13/2020,19,E,-80.43
3/13/2020,,E,-17.23
3/15/2020,,E,-29.16
3/16/2020,19,E,-133.55
3/16/2020,,E,-10000
3/16/2020,,E,-400
3/16/2020,Lo,E,-926
3/16/2020,Te,E,-67.7
3/16/2020,,E,-15.99
3/16/2020,,E,-13.99
3/16/2020,,E,-37
3/17/2020,,E,-21.85
3/17/2020,,E,-7.6
3/18/2020,,E,57.77
3/18/2020,,E,-336.15
3/18/2020,19,E,-14.38
3/18/2020,,E,-11.54
3/18/2020,,E,-132.34
3/18/2020,,E,-21000
3/18/2020,,E,-1050
3/19/2020,19,E,-147.99
3/19/2020,,E,-16.27
3/19/2020,,E,-8.32
3/20/2020,,E,-108.49
3/20/2020,,E,-7.23
3/20/2020,,E,-13.97
3/20/2020,,E,-14.56
3/21/2020,,E,-45.5
3/22/2020,,E,-8.99
3/22/2020,,E,-22.23
3/23/2020,19,E,-1750
3/23/2020,19,E,-82.16
3/23/2020,19,E,-89.1
3/24/2020,,E,-250
3/24/2020,,E,-9.07
3/24/2020,,E,-5
3/24/2020,,E,-100
3/24/2020,,E,-18.04
3/25/2020,,E,100
3/25/2020,19,E,-159.03
3/26/2020,,E,250
3/26/2020,,E,-15.81
3/26/2020,,E,-251.18
3/27/2020,19,E,-5
3/27/2020,19,E,-136.05
3/27/2020,,E,-48.15
3/28/2020,,E,-26.35
3/29/2020,,E,-21.53
3/29/2020,,E,-18.12
3/29/2020,,E,-10.34
3/30/2020,,E,-8500
3/30/2020,,E,8500
3/30/2020,,E,-280.28
3/30/2020,,E,-15.57
3/31/2020,,E,-8500
3/31/2020,,E,8500
3/31/2020,,E,-29.99
3/31/2020,,E,0.06
3/31/2020,19,E,-420
3/31/2020,,E,-111.98
3/31/2020,,E,-15.15
4/1/2020,,E,-111.61
4/1/2020,,E,-25.67
4/1/2020,,E,111.61
4/3/2020,19,E,2537
4/3/2020,19,E,1700
4/3/2020,19,E,1700
4/3/2020,,E,100
4/3/2020,,E,-200
4/3/2020,Lo,E,3195
4/3/2020,19,E,-104
4/4/2020,19,E,-305.63
4/6/2020,,E,-1604
4/6/2020,,E,500
4/6/2020,,E,500
4/6/2020,,E,-1040.77
4/6/2020,,E,-1110
4/6/2020,,E,1604
4/6/2020,,E,1040.77
4/6/2020,,E,1110
4/7/2020,,E,-600
4/7/2020,,E,600
4/8/2020,19,E,170000
4/8/2020,,E,-3500
4/8/2020,,E,500
4/8/2020,,E,3500
4/8/2020,,E,500
4/8/2020,19,E,-32.53
4/8/2020,19,E,-394.68
4/9/2020,,E,-20000
4/9/2020,,E,20000
4/9/2020,Te,E,-1080.41
4/9/2020,Te,E,-1660.59
4/9/2020,,E,-10000
4/9/2020,,E,1200
4/10/2020,,E,-25000
4/10/2020,,E,-1200
4/10/2020,,E,-20000
4/10/2020,,E,25000
4/10/2020,,E,20000
4/10/2020,,E,-5000
4/10/2020,Lo,E,-3458
4/10/2020,,E,-12100
4/10/2020,19,E,-10333.27
4/10/2020,,E,5000
4/10/2020,,E,-0.25
4/10/2020,,E,12100
4/12/2020,,E,-41.65
4/13/2020,,E,-41.9
4/13/2020,,E,-10000
4/13/2020,,E,41.9
4/14/2020,Te,E,-4450
4/14/2020,Te,E,-670.86
4/15/2020,19,E,-157.6
4/15/2020,,E,-7000
4/15/2020,Lo,E,-926
4/15/2020,Te,E,-77.88
4/16/2020,,E,-15.99
4/16/2020,19,E,39.01
4/16/2020,19,E,-97.58
4/16/2020,19,E,-58.48
4/16/2020,19,E,14.08
4/17/2020,,E,-75.27
4/17/2020,,E,-13.99
4/17/2020,,E,-22.74
4/18/2020,19,E,-63.95
4/20/2020,,E,-1264.99
4/20/2020,19,E,-9.51
4/20/2020,Te,E,-331.96
4/20/2020,,E,1264.99
4/20/2020,,E,-13.57
4/21/2020,,E,1000
4/21/2020,,E,-25.69
4/22/2020,,E,70
4/22/2020,,E,-89.99
4/22/2020,19,E,58.54
4/22/2020,19,E,-29.27
4/22/2020,,E,-27.66
4/22/2020,,E,-241.71
4/23/2020,19,T,-100000
4/23/2020,,E,-1000
4/23/2020,,E,-32.57
4/23/2020,,E,1000
4/24/2020,19,E,-84.06
4/25/2020,19,E,-140.82
4/27/2020,,E,-8.69
4/29/2020,,E,139.48
4/29/2020,,E,-200
4/29/2020,,E,-354.05
4/29/2020,,E,-246.01
4/29/2020,19,E,-226.79
4/29/2020,,E,354.05
4/29/2020,,E,-18.87
4/29/2020,,E,246.01
4/30/2020,,E,-5000
4/30/2020,,E,-29.99
4/30/2020,,E,0.01
4/30/2020,,E,-17.52
5/1/2020,,E,100
5/1/2020,,E,-111.98
5/4/2020,,E,-74.21
5/4/2020,,E,-640
5/4/2020,,E,-18.57
5/4/2020,19,E,-104
5/4/2020,,E,640
5/6/2020,19,C,1031.26
5/7/2020,,E,-130.85
5/7/2020,,E,-1083.45
5/7/2020,Te,E,-1657.55
5/7/2020,,E,130.85
5/8/2020,,E,-4000
5/8/2020,,E,4000
5/8/2020,,E,5732
5/8/2020,19,E,-10333.27
5/8/2020,,E,-66.63
5/9/2020,19,E,-2003.57
5/10/2020,,E,-34.98
5/11/2020,Lo,E,-3662.03
5/11/2020,,E,3200
5/12/2020,,E,-101.61
5/12/2020,Lo,E,-3458
5/12/2020,,E,101.61
5/13/2020,,E,500
5/13/2020,,E,-500
5/14/2020,Te,E,-5404.65
5/14/2020,,E,-53.99
5/14/2020,,E,-26.81
5/14/2020,,E,53.99
5/15/2020,19,E,-218.17
5/15/2020,Te,E,-82.17
5/15/2020,,E,-11.69
5/16/2020,,E,-15.99
5/16/2020,19,E,-199.95
5/16/2020,19,E,10.96
5/17/2020,,E,-37
5/18/2020,Lo,E,-926
5/18/2020,,E,-13.99
5/20/2020,19,E,-267.5
5/20/2020,Te,E,-383.97
5/24/2020,,E,-39.15
5/25/2020,19,E,-113.51
5/25/2020,,E,-43.01
5/25/2020,,E,-91.07
5/27/2020,19,E,-155.01
5/27/2020,,E,-29.97
5/27/2020,,E,-8.69
5/28/2020,,E,-300
5/28/2020,,E,300
5/29/2020,19,E,-39
5/30/2020,19,E,-472.32
5/31/2020,,E,-75
5/31/2020,,E,-29.99
5/31/2020,,E,0.01
5/31/2020,,E,-23.75
6/1/2020,,E,-250
6/1/2020,,E,-14.73
6/1/2020,,E,250
6/2/2020,,E,-111.98
6/3/2020,,E,-250
6/3/2020,,E,-325
6/3/2020,19,E,-104
6/3/2020,,E,-8.69
6/3/2020,,E,250
6/4/2020,19,E,2537
6/4/2020,Lo,E,3195
6/4/2020,,E,500
6/4/2020,,E,-200
6/5/2020,,E,-397.11
6/5/2020,,E,397.11
6/5/2020,,E,-11.67
6/6/2020,Te,E,-1086.49
6/6/2020,Te,E,-1654.51
6/6/2020,19,E,-457.1
6/7/2020,,E,-42.28
6/7/2020,,E,-25.15
6/8/2020,19,E,2480
6/8/2020,,E,2500
6/8/2020,,E,6000
6/8/2020,,E,100
6/8/2020,Te,E,100
6/8/2020,,E,-500
6/8/2020,19,E,188.77
6/9/2020,,E,-3000
6/9/2020,,E,3000
